iD;molecularFormula;adduct;NPC#pathway;NPC#pathway Probability;NPC#superclass;NPC#superclass Probability;NPC#class;NPC#class Probability;ClassyFire#most specific class;ClassyFire#most specific class Probability;ClassyFire#level 5;ClassyFire#level 5 Probability;ClassyFire#subclass;ClassyFire#subclass Probability;ClassyFire#class;ClassyFire#class Probability;ClassyFire#superclass;ClassyFire#superclass probability;ClassyFire#all classifications
14;C5H11NO2;[M + H]+;Amino acids and Peptides;9.99488E+14;Small peptides;9.9926E+14;Aminoacids;9.91719E+15;Alpha amino acids;9.92681E+15;Amino acids and derivatives;9.99969E+15;Amino acids, peptides, and analogues;9.99966E+15;Carboxylic acids and derivatives;9.99928E+15;Organic acids and derivatives;9.99976E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
15;C5H7NO3;[M + H]+;Amino acids and Peptides;9.14851E+15;Small peptides;9.98618E+15;Aminoacids;8.05393E+15;Proline and derivatives;9.566E+15;Amino acids and derivatives;8.55037E+15;Amino acids, peptides, and analogues;8.48739E+15;Carboxylic acids and derivatives;9.99965E+14;Organic acids and derivatives;9.99991E+15;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Pyrrolidones; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Oxoprolines; Pyrrolidine carboxylic acids; Pyrrolidine-2-ones; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
16;C9H11NO3;[M + H]+;Amino acids and Peptides;9.98852E+15;Small peptides;9.99843E+14;Aminoacids;9.98146E+15;Tyrosine and derivatives;5.24194E+15;Amino acids and derivatives;9.99601E+15;Amino acids, peptides, and analogues;9.99613E+15;Carboxylic acids and derivatives;9.99382E+14;Organic acids and derivatives;9.99906E+14;"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenols; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acids; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; Aralkylamines; Organic oxides; Hydrocarbon derivatives; Amino acids; Tyrosine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities"
17;C11H14N4O2;[M + H]+;Amino acids and Peptides;9.78395E+15;Small peptides;9.99166E+15;Dipeptides;9.13671E+15;Peptides;7.47187E+15;Peptides;7.47187E+15;Amino acids, peptides, and analogues;9.99919E+15;Carboxylic acids and derivatives;9.99638E+15;Organic acids and derivatives;9.99865E+15;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Pyrrolidinecarboxamides; Alpha amino acid amides; N-acylpyrrolidines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Histidine and derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
18;C6H13NO2;[M + H]+;Amino acids and Peptides;9.61821E+15;Small peptides;9.89175E+15;Aminoacids;9.32128E+15;Alpha amino acids;9.74137E+15;Amino acids and derivatives;9.99888E+15;Amino acids, peptides, and analogues;9.9988E+15;Carboxylic acids and derivatives;9.99837E+15;Organic acids and derivatives;9.99908E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
20;C10H16N2O3;[M + H]+;Amino acids and Peptides;9.99094E+15;Small peptides;9.99954E+15;Dipeptides;9.99857E+15;Dipeptides;9.99995E+15;Peptides;9.99993E+15;Amino acids, peptides, and analogues;10;Carboxylic acids and derivatives;1E+16;Organic acids and derivatives;1E+16;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Dialkylamines; Pyrrolidinecarboxamides; Alpha amino acid amides; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; Amines; Secondary amines; N-acylpyrrolidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities"
21;C5H11NO2S;[M + H]+;Amino acids and Peptides;9.96281E+15;Small peptides;9.99674E+15;Aminoacids;9.95902E+15;Alpha amino acids;9.50512E+15;Amino acids and derivatives;9.98063E+15;Amino acids, peptides, and analogues;9.97981E+15;Carboxylic acids and derivatives;9.97124E+15;Organic acids and derivatives;9.98159E+15;"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acids; Thia fatty acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Methionine and derivatives; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
23;C11H20N2O5;[M + H]+;Amino acids and Peptides;9.88094E+14;Small peptides;9.96368E+15;Dipeptides;9.99972E+15;Gamma-glutamyl amino acids;7.22446E+15;Peptides;3.44433E+15;Amino acids, peptides, and analogues;9.95573E+15;Carboxylic acids and derivatives;9.99993E+14;Organic acids and derivatives;1E+16;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Alpha amino acids; Amines; Primary amines; Gamma-glutamyl amino acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities"
25;C6H5NO3;[M + H]+;Alkaloids;8.87517E+15;Nicotinic acid alkaloids;6.78612E+15;Pyridine alkaloids;6.74542E+15;Dihydropyridinecarboxylic acids and derivatives;6.85532E+15;Dihydropyridines;7.79806E+15;Hydropyridines;8.06619E+15;Pyridines and derivatives;9.98021E+14;Organoheterocyclic compounds;9.93843E+15;"Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dihydropyridines; Monocarboxylic acids and derivatives; Carboxylic acids; Pyridinecarboxylic acids and derivatives; Dihydropyridinecarboxylic acids and derivatives; Hydropyridines; Pyridinecarboxylic acids; Organic anions; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
27;C10H14N2O6;[M + H]+;Amino acids and Peptides;9.83937E+15;Small peptides;9.8172E+15;Dipeptides;9.95439E+15;N-acyl-alpha amino acids;9.85778E+15;Amino acids and derivatives;9.98988E+15;Amino acids, peptides, and analogues;9.98973E+15;Carboxylic acids and derivatives;1E+16;Organic acids and derivatives;10;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
28;C11H19N3O2;[M + H]+;Alkaloids;9.14141E+14;Ornithine alkaloids;2.95143E+16;Pyrrolidine alkaloids;3.71547E+15;Alpha amino acids and derivatives;8.62427E+12;Amino acids and derivatives;8.6963E+15;Amino acids, peptides, and analogues;8.82612E+15;Carboxylic acids and derivatives;9.72046E+15;Organic acids and derivatives;9.94163E+15;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Piperidines; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Pyrrolidones; Tertiary carboxylic acid amides; Carbonyl compounds; Amines; 2,5-dioxopiperazines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
30;C5H4N4O2;[M + H]+;Alkaloids;9.96828E+15;Pseudoalkaloids (transamidation);6.63687E+15;Purine alkaloids;4.8003E+16;Xanthines;9.4395E+15;Xanthines;9.4395E+15;Purines and purine derivatives;8.28534E+15;Imidazopyrimidines;8.37899E+15;Organoheterocyclic compounds;1E+16;"Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Lactams; Purines and purine derivatives; Xanthines; Organic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Azoles; Ureas; Purinones; Diazines; 6-oxopurines; Imidazopyrimidines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
32;C11H12N2O4;[M + H]+;Amino acids and Peptides;9.81369E+15;Small peptides;9.53024E+13;Aminoacids;8.21771E+15;Alpha amino acids;9.79526E+15;Amino acids and derivatives;9.9998E+15;Amino acids, peptides, and analogues;9.9998E+15;Carboxylic acids and derivatives;9.99948E+15;Organic acids and derivatives;1E+16;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Ketones; Phenols; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Beta-amino ketones; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Butyrophenones; Keto acids and derivatives; Monoalkylamines; Carboxylic acid amides; Gamma-keto acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acids; Benzenoids; Amines; Primary amines; Aryl ketones; Aryl alkyl ketones; Vinylogous amides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Phenylketones; Alkyl-phenylketones; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities"
33;C9H13N3O3;[M + H]+;Amino acids and Peptides;5.86573E+15;Small peptides;7.46107E+15;Dipeptides;6.4826E+15;Dipeptides;9.83368E+15;Peptides;8.93459E+15;Amino acids, peptides, and analogues;9.99536E+15;Carboxylic acids and derivatives;9.99703E+15;Organic acids and derivatives;9.99898E+15;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Pyrrolidinecarboxamides; Alpha amino acid amides; Substituted imidazoles; N-substituted imidazoles; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities"
34;C10H18N2O5;[M + H]+;Amino acids and Peptides;9.98949E+15;Small peptides;9.99874E+15;Dipeptides;9.9995E+15;Dipeptides;9.99989E+15;Peptides;9.99808E+15;Amino acids, peptides, and analogues;9.99856E+15;Carboxylic acids and derivatives;1E+16;Organic acids and derivatives;10;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Glutamic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities"
35;C8H12N2O3;[M + H]+;Amino acids and Peptides;8.01053E+15;Small peptides;9.69286E+15;Dipeptides;9.9831E+15;Alpha amino acids and derivatives;9.99972E+15;Amino acids and derivatives;9.99986E+15;Amino acids, peptides, and analogues;9.99987E+15;Carboxylic acids and derivatives;9.99953E+15;Organic acids and derivatives;9.99949E+15;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Lactams; Piperazines; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Dioxopiperazines; Carbonyl compounds; Diazinanes; N-alkylpiperazines; 2,5-dioxopiperazines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
36;C12H18N4O2;[M + H]+;Amino acids and Peptides;7.78127E+15;Small peptides;8.9738E+15;Dipeptides;9.10367E+15;Alpha amino acids and derivatives;8.34349E+15;Amino acids and derivatives;9.323E+15;Amino acids, peptides, and analogues;9.41307E+15;Carboxylic acids and derivatives;9.16221E+15;Organic acids and derivatives;9.65143E+15;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
37;C11H19N5O2;[M + H]+;Alkaloids;6.04614E+15;Small peptides;8.24034E+14;Dipeptides;3.39025E+15;Alpha amino acid amides;8.19327E+15;Amino acids and derivatives;9.7706E+15;Amino acids, peptides, and analogues;9.77103E+15;Carboxylic acids and derivatives;9.74719E+15;Organic acids and derivatives;9.9558E+15;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; Imidazolinones; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Pyrrolidinecarboxamides; Alpha amino acid amides; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
39;C9H14N2O3;[M + H]+;Amino acids and Peptides;9.20765E+15;Small peptides;9.07969E+15;Dipeptides;9.86585E+14;Alpha amino acids and derivatives;9.99409E+15;Amino acids and derivatives;9.98866E+14;Amino acids, peptides, and analogues;9.98902E+15;Carboxylic acids and derivatives;9.99922E+15;Organic acids and derivatives;9.99913E+15;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Lactams; Piperazines; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Tertiary carboxylic acid amides; Dioxopiperazines; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Diazinanes; N-alkylpiperazines; 2,5-dioxopiperazines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
41;C10H18N2O3;[M + H]+;Amino acids and Peptides;9.99972E+15;Small peptides;9.99956E+15;Dipeptides;9.99956E+15;Dipeptides;9.99166E+15;Peptides;9.99796E+15;Amino acids, peptides, and analogues;1E+16;Carboxylic acids and derivatives;10;Organic acids and derivatives;10;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; Amines; Primary amines; N-acylpyrrolidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities"
